COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,Continent
Chile,MAR2012,March 2012,2012,3,March,Hydro,1678.313,1,19976.999,4644.216,0.2968387090384148,South America
Chile,MAR2012,March 2012,2012,3,March,Wind,29.422,2,409.0,77.079,0.0052037900542558,South America
Chile,APR2012,April 2012,2012,4,April,Hydro,1169.701,1,19976.999,5846.187,0.2174701422692656,South America
Chile,APR2012,April 2012,2012,4,April,Wind,15.325,2,409.0,105.589,0.0028492152526812,South America
Chile,MAY2012,May 2012,2012,5,May,Hydro,1153.162,1,19976.999,7074.125,0.2023264092914605,South America
Chile,MAY2012,May 2012,2012,5,May,Wind,36.314,2,409.0,121.269,0.006371421558298,South America
Chile,JUN2012,June 2012,2012,6,June,Hydro,2048.801,1,19976.999,8329.457,0.374612757415868,South America
Chile,JUN2012,June 2012,2012,6,June,Wind,36.709,2,409.0,157.119,0.0067120524208935,South America
Chile,JUL2012,July 2012,2012,7,July,Hydro,2349.024,1,19976.999,9943.595,0.4285666589492616,South America
Chile,JUL2012,July 2012,2012,7,July,Wind,42.709,2,409.0,182.3,0.007792024873762,South America
Chile,AUG2012,August 2012,2012,8,August,Hydro,1731.271,1,19976.999,11904.572,0.3101949102313537,South America
Chile,AUG2012,August 2012,2012,8,August,Wind,32.116,2,409.0,206.102,0.0057542809513878,South America
Chile,SEP2012,September 2012,2012,9,September,Hydro,1522.577,1,19976.999,13919.968,0.2967308443373171,South America
Chile,SEP2012,September 2012,2012,9,September,Wind,36.031,2,409.0,239.128,0.0070219825022431,South America
Chile,OCT2012,October 2012,2012,10,October,Hydro,1658.147,1,19976.999,16269.731,0.2973774637278287,South America
Chile,OCT2012,October 2012,2012,10,October,Wind,35.272,2,409.0,278.64,0.0063257949389336,South America
Chile,NOV2012,November 2012,2012,11,November,Hydro,1566.059,1,19976.999,18729.665,0.2855002337148853,South America
Chile,NOV2012,November 2012,2012,11,November,Wind,32.724,2,409.0,315.252,0.0059657456379905,South America
Chile,DEC2012,December 2012,2012,12,December,Hydro,1534.439,1,19976.999,20937.001,0.2734629195737552,South America
Chile,DEC2012,December 2012,2012,12,December,Wind,48.302,2,409.0,338.001,0.0086082313739754,South America
Chile,JAN2013,January 2013,2013,1,January,Hydro,1758.742,1,19678.001,1909.02,0.3001144322124801,South America
Chile,JAN2013,January 2013,2013,1,January,Wind,15.387,2,553.0,27.048,0.0026256612786033,South America
Chile,FEB2013,February 2013,2013,2,February,Hydro,1441.08,1,19678.001,3565.505,0.2707448357491099,South America
Chile,FEB2013,February 2013,2013,2,February,Wind,33.852,2,553.0,64.076,0.0063599898546776,South America
Chile,MAR2013,March 2013,2013,3,March,Hydro,1325.596,1,19678.001,5243.818,0.2257304161755335,South America
Chile,MAR2013,March 2013,2013,3,March,Wind,40.446,2,553.0,93.498,0.0068873868151651,South America
Chile,MAR2013,March 2013,2013,3,March,Solar,0.527,3,8.0,,8.974071234713002e-05,South America
Chile,APR2013,April 2013,2013,4,April,Hydro,1302.255,1,19678.001,6413.519,0.2364204242498072,South America
Chile,APR2013,April 2013,2013,4,April,Wind,38.015,2,553.0,108.823,0.0069015073298673,South America
Chile,APR2013,April 2013,2013,4,April,Solar,0.477,3,8.0,,8.65978954714384e-05,South America
Chile,MAY2013,May 2013,2013,5,May,Hydro,1236.982,1,19678.001,7566.681,0.2059314789241796,South America
Chile,MAY2013,May 2013,2013,5,May,Wind,45.134,2,553.0,145.137,0.0075138614545433,South America
Chile,MAY2013,May 2013,2013,5,May,Solar,0.426,3,8.0,,7.092003765754111e-05,South America
Chile,JUN2013,June 2013,2013,6,June,Hydro,1325.69,1,19678.001,9615.482,0.2189711334835437,South America
Chile,JUN2013,June 2013,2013,6,June,Wind,34.328,2,553.0,181.846,0.0056701348506989,South America
Chile,JUN2013,June 2013,2013,6,June,Solar,0.347,3,8.0,,5.73158003143945e-05,South America
Chile,JUL2013,July 2013,2013,7,July,Hydro,1727.461,1,19678.001,11964.506,0.28113005931612,South America
Chile,JUL2013,July 2013,2013,7,July,Wind,50.913,2,553.0,224.555,0.0082856716938684,South America
Chile,JUL2013,July 2013,2013,7,July,Solar,0.366,3,8.0,,5.9563487517055336e-05,South America
Chile,AUG2013,August 2013,2013,8,August,Hydro,1574.875,1,19678.001,13695.777,0.2629692976091939,South America
Chile,AUG2013,August 2013,2013,8,August,Wind,61.281,2,553.0,256.671,0.0102325718084222,South America
Chile,AUG2013,August 2013,2013,8,August,Solar,0.791,3,8.0,,0.0001320795075221,South America
Chile,SEP2013,September 2013,2013,9,September,Hydro,1906.971,1,19678.001,15218.354,0.3519950132973814,South America
Chile,SEP2013,September 2013,2013,9,September,Wind,75.363,2,553.0,292.702,0.0139107517561255,South America
Chile,SEP2013,September 2013,2013,9,September,Solar,1.028,3,8.0,,0.0001897516394689,South America
Chile,OCT2013,October 2013,2013,10,October,Hydro,1983.631,1,19678.001,16876.501,0.3407716925468266,South America
Chile,OCT2013,October 2013,2013,10,October,Wind,54.202,2,553.0,327.974,0.0093114633111819,South America
Chile,OCT2013,October 2013,2013,10,October,Solar,1.374,3,8.0,,0.0002360420388466,South America
Chile,NOV2013,November 2013,2013,11,November,Hydro,2008.419,1,19678.001,18442.56,0.3470179870900993,South America
Chile,NOV2013,November 2013,2013,11,November,Wind,61.28,2,553.0,360.698,0.0105880606829955,South America
Chile,NOV2013,November 2013,2013,11,November,Solar,1.342,3,8.0,,0.0002318729999441,South America
Chile,DEC2013,December 2013,2013,12,December,Hydro,2086.299,1,19678.001,19976.999,0.350067553690586,South America
